"Dany jest generator liczb losowych Xi o rozkładzie równomiernym w przedziale (-0.5, 0.5) oraz wyznaczane są liczby losowe Yi według wzorów podanych niżej. Wskaż, które z podanych wzorów mogą być stosowane do generacji liczb losowych o rozkładzie normalnym N(0,1):",
0,? 24 i=1 Xi
0,? 6 i=1 Xi
1,? 12 i=1 Xi
1,? 48 i=1 Xi
,
Oceń poprawność następujących stwierdzeń dotyczących wybranych metod znajdowania równań stanu układu dynamicznego:,
0,metoda mieszana polega na złożeniu metody zmiennej pomocniczej i metody kolejnych całkowań
0,zmienne stanu uzyskiwane przy zastosowaniu metody kolejnych całkowań są sygnałem wyjściowym lub pochodnymi sygnału wyjściowego
1,metodę zmiennej pomocniczej można zastosować w przypadku występowania pochodnych zmiennych wejściowych
0,"metoda ogólna znajduje zastosowanie w przypadku, gdy występuje pochodna zmiennej wejściowej"
,
Metodę funkcji kary stosujemy gdy:,
X,wskaźnik jakości ma wartość -inf
X,"jeden z parametrów optymalizacji przyjmuje wartości z przedziału (+inf, -inf)"
X,"szukamy takich optymalnych wartości parametru, by wskaźnik jakości miał wartość maksymalną"
1,na parametry optymalizacji są nałożone ograniczenia
,
Oceń poprawność następujących stwierdzeń dotyczących schematów różnicowych:,
X,"w schematach jednokrokowych kolejne przybliżenie rozwiązania tk+1, vk+1 zależy od wartości i pochodnej f w otoczeniu tk, vk"
0,"równanie Vk+1 = Vk + ( f(Vk,tk) + f(vk+hf(Vk,tk),fk+h) )/2 opisuje schemat Rungego-Kutty rzędu 1"
1,funkcja f występująca we wzorach schematów różnicowych jest prawą stroną równania stanu.
1,schematy różnicowe są układami dyskretnymi
,
Klasa Timer w pakiecie CSL++:,
0,"zawiera metodę setOff() pozwalającą na zatrzymanie upływu czasu w danym zegarze, podczas gdy w innych zegarach czas będzie płynął zgodnie z kolejnymi wywołaniami metody TimeFlow()"
1,może być wykorzystana jako miernik czasu bez konieczności powiązania z konkretnym zadaniem
1,wraz z zaprzyjaźnioną funkcją TimeFlow() umożliwia modelowanie upływu czasu
0,zawiera metodę Now() umożliwiającą wyzerowanie zegara
,
Operatorowa funkcja przejścia to:,
0,iloraz transformaty (Laplace'a-Carlsona lub Laplace'a)
1,iloraz wyjścia do wejścia
,
Oceń poprawność stwierdzeń:,
1,z równania różnicowego wynika postać transmitancji układu dyskretnego
X,operatorowa funkcja przejścia ((e^p)/(e^p - 1)) * ((3e^p + 1)/(e^ep + 2e^p + 3)) układu dyskretnego odpowiada równaniu różnicowemu yx+1 + 2*yx+1 + 3yx = 3ux+1 + ux
X,"jeśli sygnał schodkowy występuje w układzie jako wymuszenie, to operatorowa funkcja przejścia wynosi Ksch(p) = (e^p)/(e^p - 1) Lc[sch k1(kTi)], gdzie jest odpowiedzią obiektu na impuls jednostkowy"
,
Oceń poprawność następujących stwierdzeń dla dowolnego modelu układu zdarzeń dyskretnych zbudowanego według koncepcji planowania zdarzeń:,
1,mechanizmem upływu czasu symulacyjnego steruje procedura kontroli symulacji.
0,"planowanie dotyczy zarówno tego, co będzie odbywać się w przyszłości, jak i przeszłości."
1,zaplanowanie zdarzenia wymaga między innymi obliczenia chwili zajścia tego zdarzenia.
0,"wykrycie przez procedurę kontroli symulacji pustego zbioru zaplanowanych zdarzeń w trakcie realizacji eksperymentu oznacza, że aktualny stan układu jest ostateczny."
,
Oceń stabilności układów liniowych ciągłych,
0,jeśli równanie charakterystyczne układu posiada pierwiastki jednokrotne zarówno zerowe jak i mniejsze od zera to układ jest stabilny asymptotycznie w punktach równowagi
0,kryterium Hurwitza pozwala na wyznaczenie wartości pierwiastków równania charakterystycznego w celu określenia na ich podstawie stabilności układu
1,kryterium Hurwitza można stosować jedynie dla układów dynamicznych rzędu większego niż 2
0,"jeśli równanie charakterystyczne układu posiada pierwiastki wielokrotne zerowe, to układ jest stabilny w punkcie równowagi"
,
"W prezentowanym na wykładzie modelu elementu inercyjnego pierwszego rzędu, zastosowano procedurę CALKA wyznaczającą nowe wartości. Które ze sformułowań są prawdziwe:",
0,"procedura CALKA wyznacza nowe, przybliżone wartości zmiennej wyjściowej yi"
0,"procedura CALKA wyznacza nowe, przybliżone wartości zmiennych stanu xi i zmiennej wyjścia yi"
1,"procedura CALKA wyznacza nowe, przybliżone wartości zmiennych stanu xi, ich pochodnych xi' oraz nową wartość zmiennej niezależnej ti"
0,"procedura CALKA wyznacza nowe, przybliżone wartości zmiennej wyjściowej yi oraz nową wartość zmiennej niezależnej ti"
,
Oceń poprawność następujących stwierdzeń dotyczących hierarchii modułów i zasad opisu topologii modelu w pakiecie OMNet++:,
1,"brama wejściowa może zostać podłączona do wielu bram wyjściowych, z których każda należy do innego modułu prostego"
0,brama wyjściowa może zostać podłączona tylko do 1 bramy wejściowej innego modułu prostego
0,"pojedynczy moduł prosty może posiadać wiele bram wejściowych, ale tylko jedną bramę wyjściową"
0,sekcja Submodules w definicji modułu złożonego służy do zdefiniowania połączeń między poszczególnymi modułami podrzędnymi tego modułu złożonego
,
Oceń poprawność następujących stwierdzeń dotyczących transformaty Laplace'a-Carsona z funkcji schodkowych:,
1,Lc[sch c^x] = (e^p - c)/(e^p - 1)
1,Lc[sch f1(x) + sch f2(x)] = Lc[sch f1(x)] + Lc[sch f2(x)]
0,Lc[sch f1(x) * sch f2(x)] = Lc[sch f1(x)] * Lc[sch f2(x)]
0,Lc[sch x] = 1/(e^p - 1)
,
"Wektory d^1, d^2,... ,d^m, są wzajemnie sprzężone względem macierzy W dodatnio określonej, jeśli:",
1,"< d^i, Wd^j > 0 dla i != j"
0,"< d^i, Wd^j >= 0 dla i != j"
1,"< d^i, Wd^j >= 0 dla i = j"
0,"< d^i, WVq(an) > 0 gdzie Vq(an) jest gradientem wskaźnika w punkcie"
,
W środowisku Matlab/Simulink funkcja sim umożliwia:,
X,rozwiązanie zagadnienia optymalizacji parametrycznej
1,rozwiązanie zagadnienia początkowego dla układów dyskretnych
X,wyznaczenie czasowej funkcji przejścia
1,rozwiązanie zagadnienia początkowego dla układów ciągłych
,
Oceń poprawność stwierdzeń dotyczących metod generacji liczb losowych o rozkładzie równomiernym:,
0,"wzór xn+1 = [xn^2 * 2^(-m/2)] - [xn^2 * 2^(-3m/2)] * 2^m opisuje pseudolosowy multiplikatywno-addytywny generator liczb o rozkładzie równomiernym, gdzie m jest liczbą bitów reprezentujących xi"
0,"generator multiplikatywny xn+1 = cxn(mod M) generuje ciąg liczb o najdłuższym okresie, gdy współczynnik c jest wielokrotnością M"
1,"liczby o rozkładzie równomiernym na odcinku [0, 1) mogą być uzyskiwane poprzez zastosowanie metody odwracania dystrybuanty"
1,prawdopodobieństwo wylosowania konkretnej liczby zgodnie z idealnym rozkładem równomiernym ciągłym wynosi 0
,
Określ poprawność następujących stwierdzeń dotyczących szeregowej i równoległej metody znajdowania równań stanu:,
0,metoda mieszana jest kombinacją metody szeregowej i metody równoległej
0,uzyskana postać równań stanu powinna być identyczna niezależnie od zastosowanej metody
1,w metodzie szeregowej sygnał wymuszenia jest zadawany na wejście każdego z połączonych ze sobą szeregowo układów elementarnych
0,przy zastosowaniu metody równoległej dla funkcji przejścia K(p) = (p+1)/(p^2 - 4) wartość współczynników D wynosi -1/4
,
Wskaż funkcję dodatnio określoną:,
X,"V(x1, x2) = 2*x1^2 + 6*x1x2 + 5*x2^2"
X,"V(x1, x2) = 2*x1^2 + 5*x1x2 + 5*x2^2"
X,"V(x1, x2) = 2*x1^2 - 6*x1x2 + 5*x2^2"
1,"V(x1, x2) = x1^2 + x2^2"
,
